N
14.0067
1 
E(eV)  f1  f2
       811.48600        7.2655000        1.5572700
       824.61100        7.2772400        1.5158800
       837.94900        7.2875400        1.4755900
       851.50200        7.2965900        1.4367200
       865.27400        7.3047200        1.3992400
       879.26900        7.3122600        1.3630500
       893.49100        7.3193400        1.3277800
       907.94300        7.3258600        1.2934400
       922.62800        7.3321200        1.2600000
       937.55100        7.3379300        1.2266900
       952.71500        7.3427400        1.1941000
       968.12400        7.3468500        1.1622300
       983.78300        7.3502600        1.1312100
       999.69500        7.3531100        1.1010400
       1015.8600        7.3554500        1.0716900
       1032.2900        7.3575300        1.0434000
       1048.9900        7.3596500        1.0153900
       1065.9600        7.3611300       0.98763500
       1083.2000        7.3618700       0.96064400
       1100.7200        7.3621900       0.93438200
       1118.5200        7.3621200       0.90882800
       1136.6100        7.3617100       0.88396700
       1155.0000        7.3609900       0.85979200
       1173.6800        7.3600200       0.83628900
       1192.6600        7.3588500       0.81342600
       1211.9500        7.3575100       0.79118900
       1231.5500        7.3561600       0.76956100
       1251.4700        7.3547900       0.74822000
       1271.7200        7.3532100       0.72715400
       1292.2900        7.3512400       0.70629900
       1313.1900        7.3487700       0.68603100
       1334.4300        7.3460300       0.66634800
       1356.0100        7.3430900       0.64723700
       1377.9400        7.3399600       0.62864000
       1400.2300        7.3366400       0.61059100
       1422.8800        7.3332100       0.59308900
       1445.8900        7.3297100       0.57606100
       1469.2800        7.3261100       0.55950500
       1493.0400        7.3225000       0.54340700
       1517.1900        7.3188300       0.52758600
       1541.7300        7.3149100       0.51221300
       1566.6700        7.3109200       0.49731000
       1592.0100        7.3068800       0.48283100
       1617.7600        7.3027900       0.46877200
       1643.9200        7.2986600       0.45512000
       1670.5100        7.2945200       0.44186700
       1697.5300        7.2903700       0.42900000
       1724.9900        7.2862800       0.41650900
       1752.8900        7.2822400       0.40420100
       1781.2400        7.2780800       0.39219800
       1810.0500        7.2738600       0.38050800
       1839.3200        7.2695900       0.36916900
       1869.0700        7.2653000       0.35816700
       1899.3000        7.2610100       0.34749200
       1930.0200        7.2567200       0.33713400
       1961.2400        7.2524500       0.32708600
       1992.9600        7.2481700       0.31734000
       2025.2000        7.2439600       0.30799700
       2057.9500        7.2399000       0.29873300
       2091.2400        7.2357800       0.28972500
       2125.0600        7.2316700       0.28097500
       2159.4300        7.2275700       0.27246900
       2194.3600        7.2235000       0.26421000
       2229.8500        7.2194500       0.25618500
       2265.9200        7.2154300       0.24839400
       2302.5700        7.2114500       0.24082200
       2339.8100        7.2075000       0.23347100
       2377.6600        7.2035800       0.22632600
       2416.1100        7.1997000       0.21939000
       2455.1900        7.1958600       0.21265600
       2494.9000        7.1920600       0.20612000
       2535.2600        7.1883100       0.19977200
       2576.2600        7.1845900       0.19360800
       2617.9300        7.1809300       0.18763000
       2660.2700        7.1773000       0.18181600
       2703.3000        7.1737200       0.17618200
       2747.0300        7.1701900       0.17071100
       2791.4600        7.1667000       0.16539900
       2836.6100        7.1632700       0.16025000
       2882.4900        7.1598800       0.15524800
       2929.1100        7.1565400       0.15038900
       2976.4800        7.1532400       0.14568000
       3024.6300        7.1500000       0.14111000
       3073.5500        7.1468000       0.13667300
       3123.2600        7.1436500       0.13237000
       3173.7800        7.1405500       0.12819500
       3225.1100        7.1375000       0.12415300
       3277.2700        7.1345100       0.12021900
       3330.2800        7.1315500       0.11641100
       3384.1500        7.1286500       0.11271700
       3438.8800        7.1257900       0.10913400
       3494.5000        7.1229900       0.10565800
       3551.0200        7.1202300       0.10228600
       3608.4600        7.1175200      0.099016100
       3666.8200        7.1148600      0.095845300
       3726.1300        7.1122400      0.092771000
       3786.4000        7.1096700      0.089789000
       3847.6400        7.1071400      0.086898100
       3909.8700        7.1046700      0.084095100
       3973.1100        7.1022400      0.081377700
       4037.3800        7.0998500      0.078731200
       4102.6800        7.0974900      0.076179400
       4169.0300        7.0951800      0.073706200
       4236.4600        7.0929200      0.071312000
       4304.9800        7.0907000      0.068991500
       4374.6200        7.0885300      0.066744000
       4445.3700        7.0864000      0.064567300
       4517.2700        7.0843000      0.062458800
       4590.3300        7.0822600      0.060416700
       4664.5800        7.0802500      0.058439000
       4740.0300        7.0782800      0.056523000
       4816.6900        7.0763500      0.054668800
       4894.6000        7.0744600      0.052871900
       4973.7700        7.0726200      0.051132700
       5054.2100        7.0708100      0.049448400
       5135.9600        7.0690300      0.047817800
       5219.0300        7.0673000      0.046239200
       5303.4400        7.0656000      0.044709600
       5389.2200        7.0639400      0.043229900
       5476.3900        7.0623100      0.041796500
       5564.9700        7.0607200      0.040408500
       5654.9800        7.0591600      0.039066500
       5746.4400        7.0576400      0.037766300
       5839.3900        7.0561500      0.036507900
       5933.8300        7.0547000      0.035289000
       6029.8100        7.0532700      0.034110300
       6127.3300        7.0518800      0.032968500
       6226.4400        7.0505200      0.031864000
       6327.1500        7.0491800      0.030795600
       6429.4800        7.0478800      0.029761800
       6533.4800        7.0466100      0.028760900
       6639.1500        7.0453700      0.027791600
       6746.5400        7.0441500      0.026853600
       6855.6500        7.0429600      0.025947500
       6966.5400        7.0418100      0.025070000
       7079.2200        7.0406700      0.024221800
